classification_id,user_id,subject_id,subject_data,annotations
0,171,166,"{""166"": {""num_classifications"": 1, ""sdss_specobjid"": 1390611500267235328}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
1,182,118,"{""118"": {""num_classifications"": 1, ""sdss_specobjid"": 1366942038527862784}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
2,51,61,"{""61"": {""num_classifications"": 1, ""sdss_specobjid"": 1628085401828747264}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
3,34,58,"{""58"": {""num_classifications"": 1, ""sdss_specobjid"": 1507733403556931584}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
4,3,65,"{""65"": {""num_classifications"": 1, ""sdss_specobjid"": 1827420537903671296}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
5,47,47,"{""47"": {""num_classifications"": 1, ""sdss_specobjid"": 3319224470014552064}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
6,20,24,"{""24"": {""num_classifications"": 1, ""sdss_specobjid"": 881585438500874240}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
7,197,85,"{""85"": {""num_classifications"": 1, ""sdss_specobjid"": 384085003581024256}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
8,146,160,"{""160"": {""num_classifications"": 1, ""sdss_specobjid"": 2985927585386489856}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
9,199,54,"{""54"": {""num_classifications"": 1, ""sdss_specobjid"": 2269901961983715328}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
10,161,149,"{""149"": {""num_classifications"": 1, ""sdss_specobjid"": 1121436208820414464}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
11,121,132,"{""132"": {""num_classifications"": 1, ""sdss_specobjid"": 2836143866153822208}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
12,194,105,"{""105"": {""num_classifications"": 1, ""sdss_specobjid"": 555119264441329664}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
13,156,3,"{""3"": {""num_classifications"": 1, ""sdss_specobjid"": 2110094829789669376}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
14,46,189,"{""189"": {""num_classifications"": 1, ""sdss_specobjid"": 2001942458488875008}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
15,31,170,"{""170"": {""num_classifications"": 1, ""sdss_specobjid"": 2258704805025310720}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
16,135,158,"{""158"": {""num_classifications"": 1, ""sdss_specobjid"": 1477284353405904896}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
17,195,57,"{""57"": {""num_classifications"": 1, ""sdss_specobjid"": 1362388685496018944}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
18,136,50,"{""50"": {""num_classifications"": 1, ""sdss_specobjid"": 858077053705021440}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
19,159,14,"{""14"": {""num_classifications"": 1, ""sdss_specobjid"": 1032542613816764416}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
20,26,94,"{""94"": {""num_classifications"": 1, ""sdss_specobjid"": 1990718361515878400}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
21,102,5,"{""5"": {""num_classifications"": 1, ""sdss_specobjid"": 1797108375188695040}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
22,97,11,"{""11"": {""num_classifications"": 1, ""sdss_specobjid"": 1382626022091941888}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
23,11,15,"{""15"": {""num_classifications"": 1, ""sdss_specobjid"": 2986008674369038336}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
24,138,173,"{""173"": {""num_classifications"": 1, ""sdss_specobjid"": 1396266013690980352}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
25,121,155,"{""155"": {""num_classifications"": 1, ""sdss_specobjid"": 506689899584317440}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
